,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
63,262,38.16,Cuba,,CUB,1sf2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1213
64,262,38.16,France,,FRA,3,,"Olympic Stadium, London (GBR)",11 AUG 2012,1213
65,262,38.16,Beijing-Zhejiang-Guangdong,,CHN,1,,Tianjin (CHN),07 SEP 2017,1213
66,262,38.16,Japan,,JPN,1,,Jakarta (INA),30 AUG 2018,1213
67,262,38.16,PR of China,,CHN,4f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1213
68,262,38.16,Japan,,JPN,2h1,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1213
69,262,38.16,Denmark,,DEN,7h2,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1213
70,271,38.17,Unified Team,,EUN,5,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1213
71,271,38.17,Australia,,AUS,1sf2,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1213
72,271,38.17,Santa Monica Track Club,,USA,2f1,,Linz (AUT),09 JUL 1997,1213
73,271,38.17,Brazil,,BRA,4sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1213
74,271,38.17,Great Britain & NI,,GBR,2f1,,"Crystal Palace, London (GBR)",07 AUG 1999,1213
75,271,38.17,HSI,,INT,1f1,,"Los Angeles, CA (USA)",01 APR 2000,1213
76,271,38.17,Italy,,ITA,2,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 2010,1213
77,271,38.17,Australia,,AUS,4h2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1213
78,271,38.17,Jamaica,,JAM,2h1,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1213
79,271,38.17,Great Britain & NI,,GBR,1,,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1213
80,271,38.17,Canada,,CAN,3,,"Olympic Stadium, London (GBR)",23 JUL 2016,1213
81,271,38.17,Track Wired Elite,,INT,1,,"Austin, TX (USA)",01 APR 2017,1213
82,271,38.17,Houston,,INT,1,,"Eugene, OR (USA)",08 JUN 2018,1213
83,271,38.17,France,,FRA,2h2,,"Olympiastadion, München (GER)",19 AUG 2022,1213
84,285,38.18,United States,,USA,2f1,,"Olympiastadion, Berlin (GER)",01 SEP 1998,1212
85,285,38.18,Brazil,,BRA,1,,Winnipeg (CAN),30 JUL 1999,1212
86,285,38.18,United States,,USA,2,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1212
87,285,38.18,Brazil,,BRA,1,,Guadalajara (MEX),28 OCT 2011,1212
88,285,38.18,United States,,USA,1f1,,"Gainesville, FL (USA)",04 APR 2015,1212
89,285,38.18,France,,FRA,3h1,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1212
90,291,38.19,United States,,USA,1,,"Olympiastadion, München (GER)",10 SEP 1972,1211
91,291,38.19,Soviet Union,,URS,1,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1211
92,291,38.19,United States,,USA,2,,Zürich (SUI),04 AUG 1993,1211
93,291,38.19,United States,,USA,2,,"Crystal Palace, London (GBR)",22 JUL 2001,1211
94,291,38.19,Arkansas Track Club,,INT,1f1,,"Walnut, CA (USA)",15 APR 2006,1211
95,291,38.19,Jamaica,,JAM,1,,"Letzigrund, Zürich (SUI)",30 AUG 2012,1211
96,291,38.19,Great Britain & NI,,GBR,3f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1211
97,291,38.19,Brazil,,BRA,5h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1211
98,291,38.19,PR of China,,CHN,1,,"Stade Louis II, Monaco (MON)",21 JUL 2017,1211
99,300,38.2,England,,GBR,1,,Kuala Lumpur (MAS),21 SEP 1998,1210
0,300,38.2,Jamaica,,JAM,4,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1210
1,300,38.2,Trinidad and Tobago,,TTO,3,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1210
2,300,38.2,All Stars,,INT,1,,Lignano Sabbiadoro (ITA),19 JUL 2011,1210
3,300,38.2,France,,FRA,2,,"DS, Daegu (KOR)",04 SEP 2011,1210
4,300,38.2,Japan,,JPN,3f1,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1210
5,300,38.2,Great Britain & NI,,GBR,2h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1210
6,300,38.2,PR of China,,CHN,3h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1210
7,300,38.2,Japan,,JPN,1h1,,Jakarta (INA),29 AUG 2018,1210
8,300,38.2,Texas Tech,,INT,1sf3,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1210
9,310,38.21,Nigeria,,NGR,1sf2,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1210
10,310,38.21,Japan,,JPN,3h2,,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1210
11,310,38.21,United States Red,,USA,2,,Stockholm (SWE),22 JUL 2008,1210
12,310,38.21,Great Britain & NI,,GBR,1f1,,"Olympic Stadium, Cheboksary (RUS)",20 JUN 2015,1210
13,310,38.21,PR of China,,CHN,1,,"National Stadium, Beijing (CHN)",18 MAY 2016,1210
14,310,38.21,Canada,,CAN,1h2,,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017,1210
15,310,38.21,Japan,,JPN,3h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1210
16,310,38.21,Netherlands,,NED,3,,"Olympic Stadium, London (GBR)",22 JUL 2018,1210
17,310,38.21,USA Red,,USA,1,,"National Sports Centre, Devonshire (BER)",21 MAY 2023,1210
18,319,38.22,United States Red,,USA,1f1,,"Philadelphia, PA (USA)",29 APR 2000,1209
19,319,38.22,Great Britain & NI,,GBR,4,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1209
20,319,38.22,Germany,,GER,1,,Mannheim (GER),29 JUL 2016,1209
21,319,38.22,United States,,USA,2h2,,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017,1209
22,319,38.22,Brazil,,BRA,2h1,,"International Stadium, Yokohama (JPN)",11 MAY 2019,1209
23,319,38.22,Florida,,USA,1sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1209
24,319,38.22,France,,FRA,1,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1209
25,326,38.23,Canada,,CAN,1,,"New York, NY (USA)",22 JUL 1998,1208
26,326,38.23,Austin All-Stars,,INT,1f1,,"Austin, TX (USA)",03 APR 1999,1208
27,326,38.23,Brazil,,BRA,1sf1,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1208
28,326,38.23,Nigeria,,NGR,3,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1208
29,326,38.23,Trinidad and Tobago,,TTO,1,,"Crystal Palace, London (GBR)",14 JUL 2012,1208
30,326,38.23,Japan,,JPN,2h2,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1208
31,326,38.23,UTech,,INT,1,,Kingston (JAM),28 FEB 2015,1208
32,326,38.23,France,,FRA,5,,"National Stadium, Beijing (CHN)",29 AUG 2015,1208
33,334,38.24,United States,,USA,1,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1207
34,334,38.24,Dream Team,,INT,1,,"Olympiastadion, Berlin (GER)",26 AUG 1997,1207
35,334,38.24,Louisiana State,,INT,2f1,,"Amherst, MA (USA)",05 JUN 1998,1207
36,334,38.24,Brazil,,BRA,1f1,,Rio de Janeiro (BRA),20 MAY 2000,1207
37,334,38.24,Brazil,,BRA,3,,"National Stadium, Beijing (CHN)",22 AUG 2008,1207
38,334,38.24,Trinidad and Tobago,,TTO,1,,Mayagüez (PUR),29 JUL 2010,1207
39,334,38.24,Star Athletics,,INT,2f1,,"Gainesville, FL (USA)",02 APR 2016,1207
40,334,38.24,South Africa,,RSA,2,,Gold Coast (AUS),14 APR 2018,1207
41,334,38.24,Ghana,,GHA,6h1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1207
42,334,38.24,Germany,,GER,7h2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1207
43,334,38.24,Texas Tech,,INT,1,,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1207
44,345,38.25,Florida Clippers,,USA,2f1,,"New York, NY (USA)",29 JUL 1990,1207
45,345,38.25,United States,,USA,1,,"Stade Louis II, Monaco (MON)",25 JUL 1995,1207
46,345,38.25,Great Britain & NI,,GBR,2sf1,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1207
47,345,38.25,United States,,USA,2,,"SGJ, Johannesburg (RSA)",12 SEP 1998,1207
48,345,38.25,Americas,,INT,1,,"Poljud Stadion, Split (CRO)",04 SEP 2010,1207
49,345,38.25,Germany,,GER,2h1,,"Olympisch Stadion, Amsterdam (NED)",09 JUL 2016,1207
50,345,38.25,Brazil,,BRA,7,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1207
51,345,38.25,Netherlands,,NED,4,,"Olympiastadion, München (GER)",21 AUG 2022,1207
52,353,38.26,Soviet Union,,URS,1,,"Lenin Stadium, Moskva (URS)",01 AUG 1980,1206
53,353,38.26,Ghana,,GHA,5,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1206
54,353,38.26,Brazil,,BRA,2,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1206
55,353,38.26,Trinidad and Tobago,,TTO,1h1,,"National Stadium, Beijing (CHN)",21 AUG 2008,1206
56,353,38.26,United States Red,,USA,1,,"Philadelphia, PA (USA)",27 APR 2013,1206
57,353,38.26,United States Blue,,USA,2,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1206
58,353,38.26,Great Britain & NI,,GBR,1h1,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1206
59,353,38.26,Germany,,GER,6h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1206
60,353,38.26,Canada,,CAN,1,,"Stade Charléty, Paris (FRA)",24 AUG 2019,1206
61,353,38.26,United States,,USA,1,,"Dinamo National Olympic Stadium, Minsk (BLR)",09 SEP 2019,1206
62,353,38.26,Kenya,,KEN,1,,"National Stadium, Gaborone (BOT)",29 APR 2023,1206
63,353,38.26,LSU,,INT,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",29 APR 2023,1206
64,353,38.26,Florida,,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1206
65,366,38.27,USOC SOUTH,,USA,1f1,,"Indianapolis, IN (USA)",24 JUL 1982,1205
66,366,38.27,Jamaica,,JAM,2sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1205
67,366,38.27,Brazil,,BRA,2sf2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1205
68,366,38.27,Nigeria,,NGR,1h1,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1205
69,366,38.27,Great Britain & NI,,GBR,3,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1205
70,366,38.27,Brazil,,BRA,1h1,,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1205
71,366,38.27,MVP Track Club,,INT,2,,Kingston (JAM),14 APR 2012,1205
72,366,38.27,United States,,USA,1,,"CIBC, Toronto (CAN)",25 JUL 2015,1205
73,366,38.27,Brazil,,BRA,1,,Lima (PER),09 AUG 2019,1205
74,366,38.27,Great Britain & NI,,GBR,1,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1205
75,366,38.27,Florida State,,INT,2sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1205
76,377,38.28,Great Britain & NI,,GBR,2,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1204
77,377,38.28,Australia,,AUS,1h3,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1204
78,377,38.28,United States,,USA,1h1,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1204
79,377,38.28,Trinidad and Tobago,,TTO,1h2,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1204
80,377,38.28,Jamaica,,JAM,4,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1204
81,377,38.28,Gainesville Elite,,INT,1f1,,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1204
82,383,38.29,German Democratic Republic,,GDR,1,,Karl Marx Stadt (GDR),09 JUL 1982,1203
83,383,38.29,Soviet Union,,URS,1,,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1203
84,383,38.29,Soviet Union,,URS,1sf1,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1203
85,383,38.29,United States,,USA,1,,"Estadio Olímpico, Barcelona (ESP)",09 SEP 1989,1203
86,383,38.29,France,,FRA,1h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1203
87,383,38.29,Africa,,INT,3,,"SGJ, Johannesburg (RSA)",12 SEP 1998,1203
88,383,38.29,Great Britain & NI,,GBR,1h3,,"DS, Daegu (KOR)",04 SEP 2011,1203
89,383,38.29,Netherlands,,NED,3h1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1203
90,383,38.29,Canada,,CAN,2h3,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1203
91,383,38.29,Florida,,INT,1,,"Austin, TX (USA)",29 MAR 2014,1203
92,383,38.29,Racers Lion Track Club,,JAM,2,,Kingston (JAM),28 FEB 2015,1203
93,383,38.29,United States,,USA,2h1,,"CIBC, Toronto (CAN)",24 JUL 2015,1203
94,383,38.29,Italy,,ITA,1h2,,"International Stadium, Yokohama (JPN)",11 MAY 2019,1203
95,383,38.29,PR of China,,CHN,1,,Shenzhen (CHN),20 MAR 2021,1203
96,383,38.29,Canada,,CAN,2,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1203
97,383,38.29,United States,,USA,1,,"Grand Bahama Sports Complex, Freeport (BAH)",21 AUG 2022,1203
98,383,38.29,Florida State,,INT,3,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1203
99,400,38.3,HSI,,INT,2f2,,"Austin, TX (USA)",02 APR 2004,1203
0,400,38.3,Germany,,GER,1f1,,Madrid (ESP),17 JUL 2004,1203
1,400,38.3,Arkansas Alumni,,USA,1,,"Walnut, CA (USA)",15 APR 2007,1203
2,400,38.3,Arkansas Alumni,,USA,1,,"Walnut, CA (USA)",15 APR 2007,1203
3,400,38.3,Great Britain & NI,,GBR,1f1,,München (GER),23 JUN 2007,1203
4,400,38.3,Japan,,JPN,4,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1203
5,400,38.3,Auburn,,USA,1,,"Austin, TX (USA)",31 MAR 2012,1203
6,400,38.3,Great Britain & NI,,GBR,2,,"Letzigrund, Zürich (SUI)",30 AUG 2012,1203
7,400,38.3,Texas A&M,,INT,2,,"Austin, TX (USA)",29 MAR 2014,1203
8,400,38.3,Turkey,,TUR,4h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1203
9,400,38.3,Germany,,GER,2f1,,"Stadium Lille Métropole, Villeneuve d'Ascq (FRA)",24 JUN 2017,1203
10,400,38.3,United States Red,,USA,2,,"Stade Louis II, Monaco (MON)",21 JUL 2017,1203
11,400,38.3,Netherlands,,NED,2h1,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1203
12,400,38.3,Turkey,,TUR,3h1,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1203
13,400,38.3,Ghana,,GHA,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 AUG 2019,1203
14,415,38.31,Americas,,INT,2,,"Bruce Stadium, Canberra (AUS)",05 OCT 1985,1202
15,415,38.31,Santa Monica Track Club,,USA,1,,"Stadio Olimpico, Roma (ITA)",08 JUN 1994,1202
16,415,38.31,Canada,,CAN,1,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995,1202
17,415,38.31,Santa Monica Track Club,,USA,1f1,,Stockholm (SWE),07 JUL 1997,1202
18,415,38.31,Brazil,,BRA,1h2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1202
19,415,38.31,Japan,,JPN,5sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1202
20,415,38.31,Great Britain & NI,,GBR,1h2,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1202
21,415,38.31,Japan,,JPN,3sf2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1202
22,415,38.31,Jamaica,,JAM,1,,"Letzigrund, Zürich (SUI)",08 SEP 2011,1202
23,415,38.31,Poland,,POL,5h2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1202
24,415,38.31,Turkey,,TUR,1,,Erzurum (TUR),12 JUN 2016,1202
25,415,38.31,England,,GBR,1,,Brisbane (AUS),28 MAR 2018,1202
26,415,38.31,France,,FRA,5f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1202
27,415,38.31,Canada,,CAN,1,,"Alexander Stadium, Birmingham (GBR)",21 MAY 2022,1202
28,415,38.31,South Africa,,RSA,3h2,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1202
29,430,38.32,Brazil,,BRA,1h2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1201
30,430,38.32,Louisiana State,,INT,1h1,,"Baton Rouge, LA (USA)",29 MAY 2002,1201
31,430,38.32,Americas,,INT,2,,"CM, Madrid (ESP)",20 SEP 2002,1201
32,430,38.32,Great Britain & NI,,GBR,2h2,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1201
33,430,38.32,Australia,,AUS,5,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1201
34,430,38.32,Trinidad and Tobago,,TTO,1h2,,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015,1201
35,430,38.32,Great Britain & NI,,GBR,1,,"Olympic Stadium, London (GBR)",25 JUL 2015,1201
36,430,38.32,Great Britain & NI,,GBR,1h3,,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017,1201
37,430,38.32,Germany,,GER,1,,"Sportanlage am Weinweg, Regensburg (GER)",20 JUN 2021,1201
38,439,38.33,United States,,USA,1,,"Olympic Stadium, Montréal (CAN)",31 JUL 1976,1200
39,439,38.33,Poland,,POL,2,,"Lenin Stadium, Moskva (URS)",01 AUG 1980,1200
40,439,38.33,United States,,USA,1sf2,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1200
41,439,38.33,Americas,,INT,4,,"SGJ, Johannesburg (RSA)",12 SEP 1998,1200
42,439,38.33,Great Britain & NI,,GBR,2h1,,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1200
43,439,38.33,Japan,,JPN,1f1,,Osaka (JPN),09 MAY 2009,1200
44,439,38.33,United States Blue,,USA,2,,"Philadelphia, PA (USA)",24 APR 2010,1200
45,439,38.33,Jamaica,,JAM,1,,"Philadelphia, PA (USA)",30 APR 2011,1200
46,439,38.33,Canada,,CAN,3,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1200
47,439,38.33,France,,FRA,3h2,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1200
48,439,38.33,Trinidad and Tobago,,TTO,1h1,,"Hampden Park, Glasgow (GBR)",01 AUG 2014,1200
49,439,38.33,Canada,,CAN,1,,Ottawa (CAN),15 JUL 2015,1200
50,439,38.33,Louisiana State,,INT,1f2,,"Tuscaloosa, AL (USA)",14 MAY 2016,1200
51,439,38.33,Esporte Clube Pinheiros,,BRA,1,,Bragança Paulista (BRA),15 SEP 2018,1200
52,439,38.33,Jamaica,,JAM,1,,"GC Foster College, Spanish Town (JAM)",08 MAY 2021,1200
53,439,38.33,Jamaica,,JAM,4h2,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1200
54,455,38.34,Great Britain & NI,,GBR,2,,"Estadio Olímpico, Barcelona (ESP)",09 SEP 1989,1200
55,455,38.34,United States Blue,,USA,1f1,,"Austin, TX (USA)",06 APR 2002,1200
56,455,38.34,France,,FRA,1h1,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1200
57,455,38.34,Great Britain & NI B,,GBR,3,,"Crystal Palace, London (GBR)",26 JUL 2008,1200
58,455,38.34,Netherlands,,NED,1,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1200
59,455,38.34,Japan,,JPN,3h1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1200
60,455,38.34,France,,FRA,2f1,,"Olympic Stadium, Cheboksary (RUS)",20 JUN 2015,1200
61,455,38.34,France,,FRA,2,,"Olympic Stadium, London (GBR)",25 JUL 2015,1200
62,455,38.34,Houston,,INT,1,,"Eugene, OR (USA)",09 JUN 2017,1200
63,455,38.34,PR of China,,CHN,4,,"Olympic Stadium, London (GBR)",12 AUG 2017,1200
64,455,38.34,Canada,,CAN,1f1,,"Gainesville, FL (USA)",30 MAR 2019,1200
65,455,38.34,United States,,USA,1h3,,"International Stadium, Yokohama (JPN)",11 MAY 2019,1200
66,455,38.34,Brazil,,BRA,4h1,,"National Stadium, Tokyo (JPN)",05 AUG 2021,1200
67,455,38.34,Germany,,GER,1f1,,"Stadion Śląski, Chorzów (POL)",24 JUN 2023,1200
68,469,38.35,Soviet Union,,URS,3,,"Bruce Stadium, Canberra (AUS)",05 OCT 1985,1199
69,469,38.35,Team Elite,,INT,1f1,,"New York, NY (USA)",22 JUL 1989,1199
70,469,38.35,Florida,,INT,1f1,,"Durham, NC (USA)",02 JUN 2000,1199
71,469,38.35,Great Britain & NI,,GBR,2,,Gateshead (GBR),28 AUG 2000,1199
72,469,38.35,United States,,USA,1h2,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1199
73,469,38.35,United States,,USA,2f1,,"Austin, TX (USA)",06 APR 2002,1199
74,469,38.35,Japan,,JPN,1f1,,Osaka (JPN),08 MAY 2004,1199
75,469,38.35,United States Red,,USA,1f1,,"Philadelphia, PA (USA)",28 APR 2007,1199
76,469,38.35,Great Britain & NI,,GBR,2,,"Letzigrund, Zürich (SUI)",08 SEP 2011,1199
77,469,38.35,Brazil,,BRA,4h1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1199
78,469,38.35,Japan,,JPN,4,,"Olympic Stadium, London (GBR)",11 AUG 2012,1199
79,469,38.35,South Africa,,RSA,4,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1199
80,469,38.35,Jamaica,,JAM,4,,"Olympic Stadium, London (GBR)",23 JUL 2016,1199
81,469,38.35,All Stars,,INT,5,,"Olympic Stadium, London (GBR)",23 JUL 2016,1199
82,469,38.35,France,,FRA,5h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1199
83,469,38.35,Jamaica,,JAM,3,,Gold Coast (AUS),14 APR 2018,1199
84,469,38.35,Florida,,INT,1sf1,,"Austin, TX (USA)",05 JUN 2019,1199
85,469,38.35,Nigeria,,NGR,1,,"Samuel Ogbemudia Stadium, Benin City (NGR)",25 JUN 2022,1199
86,469,38.35,England,,GBR,1,,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,1199
87,488,38.36,Great Britain & NI,,GBR,2h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1198
88,488,38.36,Canada,,CAN,1sf1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1198
89,488,38.36,Canada,,CAN,2h2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1198
90,488,38.36,United States Blue,,USA,2f1,,"Philadelphia, PA (USA)",29 APR 2000,1198
91,488,38.36,Cuba,,CUB,1f2,,Montauban (FRA),15 AUG 2000,1198
92,488,38.36,Jamaica,,JAM,1f1,,Melbourne (AUS),25 MAR 2006,1198
93,488,38.36,United States Red,,USA,2f4,,"Philadelphia, PA (USA)",25 APR 2009,1198
94,488,38.36,Stratton Sprint,,INT,1,,"Austin, TX (USA)",30 MAR 2013,1198
95,488,38.36,Racers Track Club,,JAM,1,,Kingston (JAM),24 FEB 2018,1198
96,488,38.36,Switzerland,,SUI,5,,"Olympiastadion, München (GER)",21 AUG 2022,1198
97,488,38.36,LSU,,INT,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",22 APR 2023,1198
98,499,38.37,Italy,,ITA,2,,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1197
99,499,38.37,Commonwealth Select,,INT,2f1,,"Walnut, CA (USA)",17 APR 1993,1197
0,499,38.37,United States C,,USA,2,,München (GER),08 AUG 2004,1197
1,499,38.37,Jamaica,,JAM,2h1,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1197
2,499,38.37,Trinidad and Tobago,,TTO,3f4,,"Philadelphia, PA (USA)",25 APR 2009,1197
3,499,38.37,Poland,,POL,2h3,,"DS, Daegu (KOR)",04 SEP 2011,1197
4,499,38.37,Germany,,GER,6h2,,"Olympic Stadium, London (GBR)",10 AUG 2012,1197
5,499,38.37,Netherlands,,NED,5,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1197
6,499,38.37,LSU,,INT,1sf3,,"Austin, TX (USA)",05 JUN 2019,1197
7,508,38.38,Canada,,CAN,1h1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1197
8,508,38.38,Trinidad and Tobago,,TTO,1f,,Helsinki (FIN),25 JUL 2005,1197
9,508,38.38,United States Blue,,USA,1,,"Crystal Palace, London (GBR)",03 AUG 2007,1197
10,508,38.38,Texas A&M,,INT,1h3,,"Des Moines, IA (USA)",08 JUN 2011,1197
11,508,38.38,France,,FRA,2h1,,"DS, Daegu (KOR)",04 SEP 2011,1197
12,508,38.38,Louisiana State,,INT,1,,"Des Moines, IA (USA)",09 JUN 2012,1197
13,508,38.38,PR of China,,CHN,5h1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1197
14,508,38.38,Trinidad and Tobago,,TTO,3h1,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1197
15,508,38.38,Canada,,CAN,1sr,,Ottawa (CAN),15 JUL 2015,1197
16,508,38.38,France,,FRA,2,,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1197
17,508,38.38,Italy,,ITA,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",07 MAY 2023,1197
18,519,38.39,Jamaica,,JAM,1sf1,,"Estadio Olímpico, Ciudad de México (MEX)",19 OCT 1968,1196
19,519,38.39,German Democratic Republic,,GDR,4,,"Bruce Stadium, Canberra (AUS)",05 OCT 1985,1196
20,519,38.39,Italy,,ITA,3,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1196
21,519,38.39,Cuba,,CUB,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1196
22,519,38.39,Sprint Capital,,USA,2f1,,"Walnut, CA (USA)",15 APR 2006,1196
23,519,38.39,United States U23,,USA,1f1,,Toluca (MEX),19 JUL 2008,1196
24,519,38.39,Canada,,CAN,5,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1196
25,519,38.39,HSI,,USA,1,,"Walnut, CA (USA)",21 APR 2012,1196
26,519,38.39,Netherlands,,NED,5,,"Olympic Stadium, London (GBR)",11 AUG 2012,1196
27,519,38.39,Great Britain & NI,,GBR,1f1,,"International Stadium, Gateshead (GBR)",22 JUN 2013,1196
28,519,38.39,Japan,,JPN,6,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1196
29,519,38.39,Great Britain & NI,,GBR,1,,"Hampden Park, Glasgow (GBR)",12 JUL 2014,1196
30,519,38.39,Canada,,CAN,3h1,,"CIBC, Toronto (CAN)",24 JUL 2015,1196
31,519,38.39,United States,,USA,1,,"Philadelphia, PA (USA)",28 APR 2018,1196
32,519,38.39,Netherlands,,NED,1,,Genève (SUI),15 JUN 2019,1196
