,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
55,253,3:00.10,Great Britain & NI,,GBR,4h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1196
56,257,3:00.11,United States,,USA,1,,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1195
57,258,3:00.13,United States Blue,,USA,2,,"Philadelphia, PA (USA)",29 APR 2006,1195
58,259,3:00.14,Americas,,INT,2,,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1195
59,259,3:00.14,Iowa,,INT,4,,"Austin, TX (USA)",07 JUN 2019,1195
60,259,3:00.14,Botswana,,BOT,6,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1195
61,262,3:00.15,United States Red,,USA,1f2,,"Philadelphia, PA (USA)",28 APR 2012,1195
62,262,3:00.15,Dominican Republic,,DOM,6h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1195
63,264,3:00.16,Soviet Union,,URS,1,,Moskva (URS),18 AUG 1984,1195
64,264,3:00.16,Cuba,,CUB,3h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1195
65,266,3:00.17,Federal Republic of Germany,,FRG,2,,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1195
66,266,3:00.17,Germany,,GER,3h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1195
67,266,3:00.17,Alabama,,USA,3,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1195
68,269,3:00.19,United States,,USA,1sf1,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1194
69,269,3:00.19,Butch Reynolds All-Stars,,USA,1,,"New York, NY (USA)",22 JUL 1989,1194
70,269,3:00.19,Great Britain & NI,,GBR,1sf1,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1194
71,272,3:00.20,South Africa,,RSA,3,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1194
72,273,3:00.21,Kenya,,KEN,3h3,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1194
73,273,3:00.21,United States,,USA,3,,"CIBC, Toronto (CAN)",25 JUL 2015,1194
74,275,3:00.22,Africa,,INT,3,,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1194
75,275,3:00.22,Baylor,,USA,1,,"Des Moines, IA (USA)",14 JUN 2008,1194
76,277,3:00.23,Jamaica,,JAM,4f1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1194
77,277,3:00.23,North Carolina A&T,,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1194
78,279,3:00.24,Belgium,,BEL,5,,"National Stadium, Beijing (CHN)",30 AUG 2015,1193
79,280,3:00.25,Germany,,GER,3sf1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1193
80,280,3:00.25,India,,IND,4h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1193
81,282,3:00.26,Poland,,POL,3,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1193
82,282,3:00.26,South Africa,,RSA,4,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1193
83,284,3:00.29,Bahamas,,BAH,2,,"Philadelphia, PA (USA)",25 APR 2009,1193
84,285,3:00.30,Jamaica,,JAM,2,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1192
85,285,3:00.30,Bahamas,,BAH,1h3,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1192
86,287,3:00.31,Florida,,USA,1f1,,"Gainesville, FL (USA)",03 APR 2010,1192
87,287,3:00.31,Texas,,INT,1sf1,,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1192
88,289,3:00.32,Yugoslavia,,YUG,4,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1192
89,289,3:00.32,Poland,,POL,6,,"National Stadium, Beijing (CHN)",23 AUG 2008,1192
90,289,3:00.32,Great Britain & NI,,GBR,4f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1192
91,292,3:00.33,United States U20,,USA,1,,Trujillo (PER),23 JUL 2017,1192
92,293,3:00.34,Kenya,,KEN,5,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1192
93,293,3:00.34,Bahamas,,BAH,4,,"CIBC, Toronto (CAN)",25 JUL 2015,1192
94,293,3:00.34,Kenya,,KEN,1,,Brazzaville (CGO),17 SEP 2015,1192
95,296,3:00.36,Great Britain & NI,,GBR,2,,"Olympiastadion, Berlin (GER)",11 AUG 2018,1192
96,297,3:00.37,Bahamas,,BAH,1h1,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1191
97,298,3:00.38,Poland,,POL,3h1,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1191
98,298,3:00.38,Great Britain & NI,,GBR,4h1,,"DS, Daegu (KOR)",01 SEP 2011,1191
99,298,3:00.38,Trinidad and Tobago,,TTO,1h1,,"Olympic Stadium, London (GBR)",09 AUG 2012,1191
0,298,3:00.38,Great Britain & NI,,GBR,2h1,,"Olympic Stadium, London (GBR)",09 AUG 2012,1191
1,298,3:00.38,Louisiana State,,INT,1f2,,"Baton Rouge, LA (USA)",23 APR 2016,1191
2,303,3:00.39,Nigeria,,NGR,4h2,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1191
3,304,3:00.40,United States,,USA,1,,Fukuoka (JPN),03 SEP 1995,1191
4,304,3:00.40,England,,GBR,1,,Manchester (GBR),31 JUL 2002,1191
5,306,3:00.41,Wales,,GBR,2,,Manchester (GBR),31 JUL 2002,1191
6,306,3:00.41,Belgium,,BEL,4,,"DS, Daegu (KOR)",02 SEP 2011,1191
7,306,3:00.41,Jamaica,,JAM,1h1,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1191
8,309,3:00.42,Florida,,USA,2,,"Eugene, OR (USA)",14 JUN 2014,1191
9,309,3:00.42,Alabama,,USA,2sf1,,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1191
10,311,3:00.43,Cuba,,CUB,1,,Barquisimeto (VEN),10 JUN 2012,1190
11,311,3:00.43,Brazil,,BRA,4h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1190
12,313,3:00.44,Russia,,RUS,5,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1190
13,313,3:00.44,Jamaica,,JAM,3,,"Philadelphia, PA (USA)",28 APR 2007,1190
14,313,3:00.44,Dominican Republic,,DOM,2,,Guadalajara (MEX),28 OCT 2011,1190
15,316,3:00.45,Texas A&M,,INT,1f2,,"Austin, TX (USA)",09 APR 2011,1190
16,316,3:00.45,Trinidad and Tobago,,TTO,1,,Port-of-Spain (TTO),24 JUN 2012,1190
17,318,3:00.46,Great Britain & NI,,GBR,2,,"Olympiastadion, München (GER)",10 SEP 1972,1190
18,318,3:00.46,Cuba,,CUB,6,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1190
19,318,3:00.46,England,,GBR,1,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1190
20,321,3:00.47,Soviet Union,,URS,3,,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1190
21,321,3:00.47,Bahamas,,BAH,2,,Nassau (BAH),09 JUN 2001,1190
22,321,3:00.47,France,,FRA,1f1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1190
23,324,3:00.48,Nike - Mazda,,USA,1,,"Walnut, CA (USA)",18 APR 1992,1190
24,324,3:00.48,United States,,USA,1h2,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1190
25,324,3:00.48,Trinidad and Tobago,,TTO,2h2,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1190
26,324,3:00.48,Louisiana State,,INT,1,,"Tuscaloosa, AL (USA)",14 MAY 2016,1190
27,328,3:00.50,Great Britain & NI,,GBR,2h1,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1189
28,328,3:00.50,Poland,,POL,7,,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1189
29,330,3:00.51,Federal Republic of Germany,,FRG,1,,"Olympic Stadium, Athina (GRE)",11 SEP 1982,1189
30,330,3:00.51,Great Britain & NI,,GBR,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",19 JUN 2005,1189
31,330,3:00.51,Bahamas,,BAH,2,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1189
32,333,3:00.53,Bahamas,,BAH,3,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1189
33,333,3:00.53,Great Britain & NI,,GBR,2,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1189
34,333,3:00.53,Bahamas,,BAH,2,,San José (CRC),09 AUG 2015,1189
35,336,3:00.54,Great Britain & NI,,GBR,2f1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1189
36,336,3:00.54,Spain,,ESP,4,,"Olympiastadion, München (GER)",20 AUG 2022,1189
37,338,3:00.55,Cuba,,CUB,3h1,,"Olympic Stadium, London (GBR)",09 AUG 2012,1189
38,339,3:00.56,Federal Republic of Germany,,FRG,3,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1188
39,339,3:00.56,United States,,USA,1h2,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1188
40,339,3:00.56,World All-Stars,,INT,3,,"Philadelphia, PA (USA)",29 APR 2006,1188
41,339,3:00.56,Bahamas,,BAH,2f2,,"Philadelphia, PA (USA)",28 APR 2012,1188
42,339,3:00.56,Louisiana State,,INT,3,,"Eugene, OR (USA)",08 JUN 2018,1188
43,339,3:00.56,Qatar,,QAT,1,,Jakarta (INA),30 AUG 2018,1188
44,345,3:00.57,Federal Republic of Germany,,FRG,3,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1188
45,345,3:00.57,Great Britain & NI,,GBR,1,,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1188
46,345,3:00.57,Arizona State,,INT,2,,"Sacramento, CA (USA)",11 JUN 2005,1188
47,348,3:00.58,Poland,,POL,4,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1188
48,348,3:00.58,South Africa,,RSA,3sf2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1188
49,348,3:00.58,United States,,USA,1,,München (GER),08 AUG 2004,1188
50,348,3:00.58,Poland,,POL,5,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1188
51,348,3:00.58,United States Blue,,USA,3,,"Philadelphia, PA (USA)",25 APR 2009,1188
52,348,3:00.58,Baylor,,INT,3sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1188
53,354,3:00.59,France,,FRA,4,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1188
54,354,3:00.59,United States,,USA,1,,Brisbane (AUS),10 SEP 2000,1188
55,356,3:00.60,German Democratic Republic,,GDR,1sf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",30 SEP 1988,1188
56,356,3:00.60,Australia,,AUS,2,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1188
57,356,3:00.60,United States Blue,,USA,1,,"Philadelphia, PA (USA)",24 APR 2010,1188
58,356,3:00.60,United States,,USA,1,,Toronto (CAN),12 AUG 2018,1188
59,360,3:00.61,Great Britain & NI,,GBR,1,,"Stade Charléty, Paris (FRA)",20 JUN 1999,1188
60,360,3:00.61,Cuba,,CUB,5f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1188
61,360,3:00.61,Baylor,,INT,4,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1188
62,363,3:00.62,Texas A&M,,INT,1,,"Des Moines, IA (USA)",11 JUN 2011,1188
63,364,3:00.63,United States,,USA,1,,Cali (COL),05 AUG 1971,1187
64,365,3:00.64,Federal Republic of Germany,,FRG,2,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1187
65,365,3:00.64,Senegal,,SEN,4,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1187
66,365,3:00.64,France,,FRA,3sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1187
67,365,3:00.64,Bahamas,,BAH,4,,"Philadelphia, PA (USA)",28 APR 2007,1187
68,365,3:00.64,USC,,USA,2,,"Des Moines, IA (USA)",09 JUN 2012,1187
69,370,3:00.65,France,,FRA,3,,"Olympiastadion, München (GER)",10 SEP 1972,1187
70,370,3:00.65,Americas,,INT,1,,"Estadio Olímpico, Barcelona (ESP)",10 SEP 1989,1187
71,370,3:00.65,Sprint Capital,,INT,1,,"Atlanta, GA (USA)",20 MAY 2000,1187
72,370,3:00.65,Waco All-Stars,,INT,1,,"Austin, TX (USA)",05 APR 2008,1187
73,370,3:00.65,Great Britain & NI,,GBR,1h1,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1187
74,370,3:00.65,France,,FRA,6,,"National Stadium, Beijing (CHN)",30 AUG 2015,1187
75,370,3:00.65,Spain,,ESP,5,,"Olympic Stadium, London (GBR)",13 AUG 2017,1187
76,377,3:00.66,Federal Republic of Germany,,FRG,2sf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",30 SEP 1988,1187
77,377,3:00.66,Poland,,POL,4sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1187
78,379,3:00.67,Belgium,,BEL,2h1,,"National Stadium, Beijing (CHN)",22 AUG 2008,1187
79,380,3:00.68,Great Britain & NI,,GBR,2,,"Olympic Stadium, Athina (GRE)",11 SEP 1982,1187
80,380,3:00.68,Australia,,AUS,3h1,,"National Stadium, Beijing (CHN)",22 AUG 2008,1187
81,380,3:00.68,Germany,,GER,5h1,,"DS, Daegu (KOR)",01 SEP 2011,1187
82,383,3:00.69,Louisiana State,,USA,1,,"Eugene, OR (USA)",10 JUN 2016,1186
83,383,3:00.69,Texas A&M,,USA,1h1,,"Austin, TX (USA)",27 MAY 2017,1186
84,385,3:00.70,United States,,USA,1,,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1186
85,385,3:00.70,Cuba,,CUB,1,,Veracruz (MEX),28 NOV 2014,1186
86,385,3:00.70,Texas,,INT,1h2,,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1186
87,388,3:00.71,United States,,USA,1h1,,"Estadio Olímpico, Ciudad de México (MEX)",19 OCT 1968,1186
88,388,3:00.71,United States,,USA,1,,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1186
89,388,3:00.71,Belgium,,BEL,1h2,,"DS, Daegu (KOR)",01 SEP 2011,1186
90,391,3:00.72,High Performance,,USA,1,,"Philadelphia, PA (USA)",26 APR 2003,1186
91,391,3:00.72,Poland,,POL,5h1,,"National Stadium, Beijing (CHN)",29 AUG 2015,1186
92,391,3:00.72,Texas A&M,,USA,1f2,,"Columbia, SC (USA)",13 MAY 2017,1186
93,394,3:00.73,Kenya,,KEN,2sf2,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1186
94,394,3:00.73,Bahamas,,BAH,1h1,,Winnipeg (CAN),28 JUL 1999,1186
95,394,3:00.73,Baylor,,INT,1,,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1186
96,397,3:00.74,Poland,,POL,4h1,,"National Stadium, Beijing (CHN)",22 AUG 2008,1186
97,397,3:00.74,Great Britain & NI,,GBR,1h1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1186
98,397,3:00.74,Texas A&M,,USA,1,,"Baton Rouge, LA (USA)",29 APR 2017,1186
99,397,3:00.74,Trinidad and Tobago,,TTO,5,,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1186
0,401,3:00.75,Germany,,GER,6,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1186
1,401,3:00.75,Brazil,,BRA,1h2,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1186
2,401,3:00.75,Adidas,,USA,1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2021,1186
3,404,3:00.76,Japan,,JPN,5,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1185
4,404,3:00.76,World All-Stars,,INT,1,,"Philadelphia, PA (USA)",24 APR 2004,1185
5,404,3:00.76,Jamaica,,JAM,4,,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1185
6,404,3:00.76,Texas A&M,,INT,1h1,,"Eugene, OR (USA)",12 JUN 2014,1185
7,404,3:00.76,Jamaica,,JAM,1h2,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1185
8,404,3:00.76,Japan,,JPN,5h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1185
9,410,3:00.77,South Africa,,RSA,1h3,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1185
10,411,3:00.78,Bahamas,,BAH,1,,"Philadelphia, PA (USA)",26 APR 2014,1185
11,411,3:00.78,Spain,,ESP,3,,"Olympiastadion, Berlin (GER)",11 AUG 2018,1185
12,413,3:00.79,Soviet Union,,URS,1,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1185
13,413,3:00.79,Zimbabwe,,ZIM,1sf3,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1185
14,413,3:00.79,United States,,USA,1h2,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1185
15,416,3:00.80,Europa,,INT,2,,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1185
16,416,3:00.80,Soviet Union,,URS,3,,"Olympic Stadium, Athina (GRE)",11 SEP 1982,1185
17,416,3:00.80,German Democratic Republic,,GDR,1,,Praha (TCH),28 JUN 1987,1185
18,416,3:00.80,Germany,,GER,2,,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1185
19,416,3:00.80,GW Exp,,USA,1f1,,"Gainesville, FL (USA)",02 APR 2011,1185
20,416,3:00.80,France,,FRA,2h1,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1185
21,422,3:00.81,Kenya,,KEN,1sf2,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1185
22,422,3:00.81,Oregon,,INT,3,,"Sacramento, CA (USA)",11 JUN 2005,1185
23,422,3:00.81,Belgium,,BEL,3h2,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1185
24,422,3:00.81,Trinidad and Tobago,,TTO,1f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1185
25,422,3:00.81,France,,FRA,6h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1185
26,422,3:00.81,Alabama,,INT,4,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1185
27,428,3:00.82,German Democratic Republic,,GDR,2,,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1184
28,428,3:00.82,Kenya,,KEN,1h3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1184
29,428,3:00.82,England,,GBR,2,,Kuala Lumpur (MAS),21 SEP 1998,1184
30,428,3:00.82,Great Britain & NI,,GBR,1f2,,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",21 JUN 2009,1184
31,428,3:00.82,Venezuela,,VEN,3,,Guadalajara (MEX),28 OCT 2011,1184
32,428,3:00.82,France,,FRA,5h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1184
33,434,3:00.83,United States,,USA,2h1,,Winnipeg (CAN),28 JUL 1999,1184
34,434,3:00.83,Jamaica,,JAM,1,,Ciudad de Guatemala (GUA),22 JUL 2001,1184
35,434,3:00.83,Jamaica,,JAM,4,,"Philadelphia, PA (USA)",29 APR 2006,1184
36,437,3:00.84,Kenya,,KEN,2h1,,"Estadio Olímpico, Ciudad de México (MEX)",19 OCT 1968,1184
37,438,3:00.85,Trinidad and Tobago,,TTO,8,,"National Stadium, Tokyo (JPN)",07 AUG 2021,1184
38,439,3:00.86,Poland,,POL,2h3,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1184
39,439,3:00.86,United States,,USA,1,,"Philadelphia, PA (USA)",25 APR 2015,1184
40,441,3:00.87,Belgium,,BEL,2h2,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1184
41,442,3:00.88,Federal Republic of Germany,,FRG,4,,"Olympiastadion, München (GER)",10 SEP 1972,1184
42,442,3:00.88,United States,,USA,1,,Palma de Mallorca (ESP),13 JUL 1999,1184
43,442,3:00.88,Bahamas,,BAH,1h3,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1184
44,442,3:00.88,Africa,,INT,3,,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1184
45,442,3:00.88,Great Britain & NI,,GBR,3,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1184
46,442,3:00.88,Texas A&M,,USA,4sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1184
47,448,3:00.89,Texas A&M,,INT,1,,"Eugene, OR (USA)",12 JUN 2010,1183
48,448,3:00.89,United States U23,,USA,1,,San Salvador (ESA),17 JUL 2016,1183
49,450,3:00.90,Nigeria,,NGR,3,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1183
50,450,3:00.90,Australia,,AUS,3,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1183
51,450,3:00.90,Texas A&M,,USA,5,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1183
52,453,3:00.91,Texas A&M,,USA,2,,"Fayetteville, AR (USA)",13 JUN 2009,1183
53,453,3:00.91,United States Red,,USA,1,,"Philadelphia, PA (USA)",27 APR 2013,1183
54,453,3:00.91,India,,IND,1,,Bengaluru (IND),10 JUL 2016,1183
55,456,3:00.92,France,,FRA,3,,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1183
56,456,3:00.92,Empire Athletics,,USA,1,,"Gainesville, FL (USA)",01 APR 2017,1183
57,456,3:00.92,North Carolina A&T,,INT,1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1183
58,459,3:00.93,Russia,,RUS,4,,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1183
59,459,3:00.93,Australia,,AUS,1,,Melbourne (AUS),25 MAR 2006,1183
60,461,3:00.94,Jamaica,,JAM,3sf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",30 SEP 1988,1183
61,461,3:00.94,United States,,USA,3,,Winnipeg (CAN),30 JUL 1999,1183
62,461,3:00.94,Jamaica,,JAM,1,,"Philadelphia, PA (USA)",27 APR 2002,1183
63,464,3:00.95,Great Britain & NI,,GBR,1,,"Petrovskiy Stadium, St. Petersburg (RUS)",28 JUN 1998,1182
64,464,3:00.95,NIKE,,INT,1,,"Philadelphia, PA (USA)",24 APR 1999,1182
65,464,3:00.95,Botswana,,BOT,2,,Brazzaville (CGO),17 SEP 2015,1182
66,467,3:00.96,Poland,,POL,6,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1182
67,467,3:00.96,Great Britain & NI,,GBR,1h1,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1182
68,467,3:00.96,Brazil,,BRA,5f1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1182
69,467,3:00.96,Gainesville Elite,,USA,1,,"Gainesville, FL (USA)",01 APR 2016,1182
70,471,3:00.97,Jamaica,,JAM,2h2,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1182
71,471,3:00.97,Kenya,,KEN,2h2,,"DS, Daegu (KOR)",01 SEP 2011,1182
72,471,3:00.97,Arkansas,,USA,1sf2,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1182
73,474,3:00.98,Russia,,RUS,5,,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1182
74,474,3:00.98,Dominican Republic,,DOM,1,,La Nucia (ESP),22 MAY 2022,1182
75,476,3:00.99,Cuba,,CUB,1sf1,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1182
76,476,3:00.99,United States,,USA,2,,"Estadio Olímpico, Barcelona (ESP)",10 SEP 1989,1182
77,476,3:00.99,Japan,,JPN,4,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1182
78,476,3:00.99,Jamaica,,JAM,2h1,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1182
79,476,3:00.99,Jamaica U20,,JAM,2,,San José (CRC),21 JUL 2019,1182
80,481,3:01.00,Great Britain & NI,,GBR,4,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1182
81,481,3:01.00,Bahamas,,BAH,1h2,,"CIBC, Toronto (CAN)",24 JUL 2015,1182
82,481,3:01.00,Florida,,INT,1,,"Gainesville, FL (USA)",31 MAR 2018,1182
83,481,3:01.00,LSU,,USA,2,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1182
84,485,3:01.02,France,,FRA,4,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1181
85,485,3:01.02,Belgium,,BEL,4,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1181
86,485,3:01.02,Altis,,USA,1f1,,"Tempe, AZ (USA)",18 MAR 2017,1181
87,488,3:01.03,Great Britain & NI U23,,GBR,1,,Gateshead (GBR),19 JUL 1992,1181
88,488,3:01.03,Baylor,,USA,1,,"Austin, TX (USA)",12 JUN 2004,1181
89,490,3:01.04,Brazil,,BRA,2h2,,Winnipeg (CAN),28 JUL 1999,1181
90,490,3:01.04,Japan,,JPN,1,,Daegu (KOR),16 MAY 2012,1181
91,492,3:01.05,Poland,,POL,5,,"Olympiastadion, München (GER)",10 SEP 1972,1181
92,492,3:01.05,Trinidad and Tobago,,TTO,1h1,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1181
93,492,3:01.05,Brazil,,BRA,7h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1181
94,495,3:01.06,France,,FRA,5,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1181
95,495,3:01.06,Poland,,POL,2,,"Stade Charléty, Paris (FRA)",20 JUN 1999,1181
96,495,3:01.06,Nigeria,,NGR,1sf2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1181
97,495,3:01.06,Trinidad and Tobago,,TTO,2h3,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1181
98,495,3:01.06,Colombia,,COL,2h1,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1181
99,500,3:01.07,Great Britain & NI,,GBR,5,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1181
0,500,3:01.07,Russia,,RUS,3h1,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1181
1,500,3:01.07,Louisiana State,,INT,2,,"Des Moines, IA (USA)",11 JUN 2011,1181
2,503,3:01.08,Jamaica,,JAM,3sf2,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1180
3,503,3:01.08,Africa,,INT,3,,"SGJ, Johannesburg (RSA)",13 SEP 1998,1180
4,503,3:01.08,Bahamas,,BAH,1,,Nassau (BAH),11 JUL 2005,1180
5,506,3:01.09,Nigeria,,NGR,1sf3,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1180
6,506,3:01.09,Brazil,,BRA,4,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1180
7,506,3:01.09,Caribbean All-Stars,,INT,3f1,,"Philadelphia, PA (USA)",26 APR 2003,1180
8,506,3:01.09,United States U20,,USA,1,,"Stadio Zecchini, Grosseto (ITA)",18 JUL 2004,1180
9,506,3:01.09,Belgium,,BEL,1,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1180
10,506,3:01.09,Brazil,,BRA,4h2,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1180
11,506,3:01.09,United States,,USA,1h2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1180
12,513,3:01.10,Florida,,INT,1f2,,"Philadelphia, PA (USA)",24 APR 2004,1180
