,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
71,272,1:22.59,Sichuan,,CHN,1,,"Universiade Center, Shenzhen (CHN)",06 FEB 2021,1122
72,273,1:22.60,World Express AC,,INT,2f1,,"Gainesville, FL (USA)",03 APR 2010,1122
73,273,1:22.60,Louisiana State,,INT,1f2,,"Austin, TX (USA)",28 MAR 2015,1122
74,273,1:22.60,Arizona Speedsters,,INT,2,,"Austin, TX (USA)",01 APR 2017,1122
75,273,1:22.60,Canada B,,CAN,5f1,,"Gainesville, FL (USA)",01 APR 2017,1122
76,277,1:22.61,UTech,,JAM,1h2,,"Philadelphia, PA (USA)",27 APR 2012,1121
77,278,1:22.62,Nebraska,,INT,2f1,,"Des Moines, IA (USA)",27 APR 2007,1121
78,279,1:22.63,Arkansas,,INT,2h3,,"Philadelphia, PA (USA)",29 APR 2011,1121
79,280,1:22.65,Germany,,GER,3,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1120
80,281,1:22.66,Thailand,,THA,3,,"Philadelphia, PA (USA)",29 APR 2000,1120
81,281,1:22.66,Pittsburgh,,USA,5f1,,"Philadelphia, PA (USA)",26 APR 2014,1120
82,281,1:22.66,Arkansas,,INT,1f3,,"Des Moines, IA (USA)",24 APR 2015,1120
83,281,1:22.66,United States,,USA,4f2,,"Austin, TX (USA)",31 MAR 2018,1120
84,285,1:22.67,Japan,,JPN,5f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1119
85,285,1:22.67,Hubei,,CHN,2h1,,Chongqing (CHN),25 JUN 2021,1119
86,287,1:22.68,South Carolina State,,USA,1f1,,"Orangeburg, SC (USA)",23 MAR 2013,1119
87,288,1:22.69,South Carolina,,INT,3f1,,"Gainesville, FL (USA)",03 APR 2010,1118
88,288,1:22.69,United States B,,USA,5f2,,"Austin, TX (USA)",31 MAR 2018,1118
89,290,1:22.70,Canada,,CAN,1f4,,"Baton Rouge, LA (USA)",24 MAR 2012,1118
90,291,1:22.72,Oregon,,USA,2f2,,"Gainesville, FL (USA)",01 APR 2017,1117
91,292,1:22.73,USA White,,USA,3,,"Philadelphia, PA (USA)",24 APR 2004,1117
92,293,1:22.74,World Express AC,,INT,2f1,,"Gainesville, FL (USA)",07 APR 2012,1117
93,294,1:22.76,South Carolina,,USA,3f1,,"Gainesville, FL (USA)",07 APR 2012,1116
94,295,1:22.77,Waseda University,,JPN,1,,Tokorozawa (JPN),20 SEP 2015,1115
95,295,1:22.77,South Carolina,,INT,1h1,,"Philadelphia, PA (USA)",28 APR 2017,1115
96,297,1:22.78,UTech,,INT,1h1,,"Philadelphia, PA (USA)",24 APR 2015,1115
97,298,1:22.79,Trinidad and Tobago,,TTO,3h1,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1115
98,299,1:22.80,Florida,,USA,1h2,,"Philadelphia, PA (USA)",25 APR 2008,1114
99,299,1:22.80,South Carolina,,INT,1f2,,"Gainesville, FL (USA)",04 APR 2015,1114
0,301,1:22.81,Mid. Tennessee State,,INT,2,,"Philadelphia, PA (USA)",28 APR 2007,1114
1,301,1:22.81,Kentucky,,INT,6,,"Philadelphia, PA (USA)",25 APR 2009,1114
2,301,1:22.81,PR of China,,CHN,6f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1114
3,301,1:22.81,Henan,,CHN,4h2,,Xi'an (CHN),21 SEP 2021,1114
4,301,1:22.81,Henan,,CHN,7,,Xi'an (CHN),23 SEP 2021,1114
5,306,1:22.82,Jiangsu,,CHN,1f1,,Shenyang (CHN),09 JUL 2019,1114
6,307,1:22.83,South Carolina,,USA,1f3,,"Gainesville, FL (USA)",02 APR 2011,1113
7,307,1:22.83,Guangdong,,CHN,1f2,,Shenyang (CHN),09 JUL 2019,1113
8,307,1:22.83,Sichuan,,CHN,2f1,,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1113
9,310,1:22.85,South Carolina,,USA,4f1,,"Philadelphia, PA (USA)",30 APR 2011,1113
10,310,1:22.85,Texas A&M,,INT,2f1,,"Philadelphia, PA (USA)",28 APR 2012,1113
11,310,1:22.85,Poland,,POL,4,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1113
12,313,1:22.86,Barbados,,BAR,4h2,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1112
13,313,1:22.86,Bahamas,,BAH,1h3,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1112
14,315,1:22.87,UTEP,,INT,1f3,,"Des Moines, IA (USA)",23 APR 2004,1112
15,315,1:22.87,Louisiana State,,INT,3f2,,"Austin, TX (USA)",29 MAR 2014,1112
16,317,1:22.88,Tennessee,,USA,1f1,,"Knoxville, TN (USA)",13 APR 2007,1111
17,318,1:22.89,Fujian,,CHN,1,,Taizhou (CHN),27 MAY 2023,1111
18,319,1:22.90,Mississippi State,,INT,1f1,,"Tuscaloosa, AL (USA)",24 MAR 2002,1111
19,319,1:22.90,St. Augustine's,,INT,1f1,,"Raleigh, NC (USA)",30 MAR 2013,1111
20,319,1:22.90,Purdue,,INT,1f4,,"Gainesville, FL (USA)",30 MAR 2019,1111
21,319,1:22.90,Purdue,,USA,1f4,,"Drake Stadium, Des Moines, IA (USA)",28 APR 2023,1111
22,323,1:22.91,Florida State,,INT,1f1,,"Lake Buena Vista, FL (USA)",24 MAR 2007,1110
23,323,1:22.91,Bahamas,,BAH,5,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1110
24,323,1:22.91,PR of China,,CHN,5,,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1110
25,323,1:22.91,Fujian,,CHN,3h1,,Chongqing (CHN),25 JUN 2021,1110
26,327,1:22.92,Saint Kitts and Nevis,,SKN,6,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1110
27,327,1:22.92,Tennessee,,USA,1f2,,"Gainesville, FL (USA)",02 APR 2016,1110
28,327,1:22.92,Chuo University,,JPN,1,,Itami (JPN),16 OCT 2016,1110
29,330,1:22.93,Auburn,,INT,4f2,,"Austin, TX (USA)",29 MAR 2014,1110
30,331,1:22.94,Japan,,JPN,,,Kobe (JPN),02 JUL 2000,1109
31,332,1:22.95,Mississippi State,,INT,1f1,,"Austin, TX (USA)",02 APR 2004,1109
32,333,1:22.96,Fujian,,CHN,3,,Chongqing (CHN),25 JUN 2021,1109
33,334,1:22.97,Mississippi State,,INT,1h3,,"Philadelphia, PA (USA)",23 APR 2010,1108
34,334,1:22.97,UMES,,INT,5f1,,"Philadelphia, PA (USA)",24 APR 2010,1108
35,334,1:22.97,Waseda University,,JPN,1,,Nishinomiya (JPN),27 JUN 2010,1108
36,337,1:22.98,UTech,,JAM,1h2,,"Philadelphia, PA (USA)",28 APR 2006,1108
37,337,1:22.98,Baylor,,USA,2f2,,"Austin, TX (USA)",04 APR 2009,1108
38,339,1:22.99,St. Augustine's,,INT,1h4,,"Philadelphia, PA (USA)",26 APR 2013,1107
39,340,1:23.00,Florida State,,INT,1h6,,"Philadelphia, PA (USA)",27 APR 2007,1107
40,340,1:23.00,L.I.U. Brooklyn,,INT,3,,"Philadelphia, PA (USA)",30 APR 2016,1107
